timestamp,person_id,x_gt,y_gt
17.3,personFlow1.0,266.94,187.316
17.3,personFlow1.1,266.84,176.429
17.35,personFlow1.0,266.94,187.374
17.35,personFlow1.1,266.84,176.494
17.4,personFlow1.0,266.94,187.431
17.4,personFlow1.1,266.84,176.552
17.45,personFlow1.0,266.94,187.495
17.45,personFlow1.1,266.84,176.621
17.5,personFlow1.0,266.94,187.559
17.5,personFlow1.1,266.84,176.69
17.55,personFlow1.0,266.94,187.615
17.55,personFlow1.1,266.84,176.749
17.6,personFlow1.0,266.94,187.667
17.6,personFlow1.1,266.84,176.809
17.65,personFlow1.0,266.94,187.726
17.65,personFlow1.1,266.84,176.87
17.7,personFlow1.0,266.94,187.79
17.7,personFlow1.1,266.84,176.935
17.75,personFlow1.0,266.94,187.846
17.75,personFlow1.1,266.84,177.002
17.8,personFlow1.0,266.94,187.909
17.8,personFlow1.1,266.84,177.064
17.85,personFlow1.0,266.94,187.974
17.85,personFlow1.1,266.84,177.124
17.9,personFlow1.0,266.94,188.033
17.9,personFlow1.1,266.84,177.184
17.95,personFlow1.0,266.94,188.093
17.95,personFlow1.1,266.84,177.252
18,personFlow1.0,267.189,188.313
18,personFlow1.1,266.84,177.313
18.05,personFlow1.0,267.251,188.317
18.05,personFlow1.1,266.84,177.38
18.1,personFlow1.0,267.306,188.32
18.1,personFlow1.1,266.84,177.44
18.15,personFlow1.0,267.37,188.324
18.15,personFlow1.1,266.84,177.508
18.2,personFlow1.0,267.423,188.327
18.2,personFlow1.1,266.84,177.575
18.25,personFlow1.0,267.479,188.331
18.25,personFlow1.1,266.84,177.643
18.3,personFlow1.0,267.537,188.334
18.3,personFlow1.1,266.84,177.699
18.35,personFlow1.0,267.599,188.338
18.35,personFlow1.1,266.84,177.762
18.4,personFlow1.0,267.657,188.342
18.4,personFlow1.1,266.84,177.821
18.45,personFlow1.0,267.72,188.346
18.45,personFlow1.1,266.84,177.884
18.5,personFlow1.0,267.778,188.349
18.5,personFlow1.1,266.84,177.944
18.55,personFlow1.0,267.831,188.353
18.55,personFlow1.1,266.84,178.013
18.6,personFlow1.0,267.891,188.356
18.6,personFlow1.1,266.84,178.075
18.65,personFlow1.0,267.952,188.36
18.65,personFlow1.1,266.84,178.143
18.7,personFlow1.0,268.011,188.364
18.7,personFlow1.1,266.84,178.205
18.75,personFlow1.0,268.068,188.367
18.75,personFlow1.1,266.84,178.273
18.8,personFlow1.0,268.123,188.371
18.8,personFlow1.1,266.84,178.339
18.85,personFlow1.0,268.176,188.374
18.85,personFlow1.1,266.84,178.403
18.9,personFlow1.0,268.231,188.377
18.9,personFlow1.1,266.84,178.461
18.95,personFlow1.0,268.29,188.381
18.95,personFlow1.1,266.84,178.52
19,personFlow1.0,268.349,188.384
19,personFlow1.1,266.84,178.585
19.05,personFlow1.0,268.407,188.388
19.05,personFlow1.1,266.84,178.65
19.1,personFlow1.0,268.468,188.392
19.1,personFlow1.1,266.84,178.719
19.15,personFlow1.0,268.523,188.395
19.15,personFlow1.1,266.84,178.776
19.2,personFlow1.0,268.581,188.399
19.2,personFlow1.1,266.84,178.841
19.25,personFlow1.0,268.633,188.402
19.25,personFlow1.1,266.84,178.904
19.3,personFlow1.0,268.698,188.406
19.3,personFlow1.1,266.84,178.963
19.35,personFlow1.0,268.756,188.41
19.35,personFlow1.1,266.84,179.021
19.4,personFlow1.0,268.811,188.413
19.4,personFlow1.1,266.84,179.087
19.45,personFlow1.0,268.872,188.417
19.45,personFlow1.1,266.84,179.151
19.5,personFlow1.0,268.927,188.42
19.5,personFlow1.1,266.84,179.218
19.55,personFlow1.0,268.989,188.424
19.55,personFlow1.1,266.84,179.286
19.6,personFlow1.0,269.042,188.427
19.6,personFlow1.1,266.84,179.343
19.65,personFlow1.0,269.094,188.431
19.65,personFlow1.1,266.84,179.404
19.7,personFlow1.0,269.147,188.434
19.7,personFlow1.1,266.84,179.46
19.75,personFlow1.0,269.2,188.437
19.75,personFlow1.1,266.84,179.519
19.8,personFlow1.0,269.258,188.441
19.8,personFlow1.1,266.84,179.584
19.85,personFlow1.0,269.311,188.444
19.85,personFlow1.1,266.84,179.647
19.9,personFlow1.0,269.363,188.447
19.9,personFlow1.1,266.84,179.717
19.95,personFlow1.0,269.417,188.451
19.95,personFlow1.1,266.84,179.786
20,personFlow1.0,269.482,188.455
20,personFlow1.1,266.84,179.855
20.05,personFlow1.0,269.534,188.458
20.05,personFlow1.1,266.84,179.922
20.05,personFlow1.2,266.84,167.201
20.1,personFlow1.0,269.598,188.462
20.1,personFlow1.1,266.84,179.984
20.1,personFlow1.2,266.84,167.271
20.15,personFlow1.0,269.663,188.466
20.15,personFlow1.1,266.84,180.045
20.15,personFlow1.2,266.84,167.341
20.2,personFlow1.0,269.724,188.47
20.2,personFlow1.1,266.84,180.109
20.2,personFlow1.2,266.84,167.404
20.25,personFlow1.0,269.777,188.473
20.25,personFlow1.1,266.84,180.168
20.25,personFlow1.2,266.84,167.476
20.3,personFlow1.0,269.833,188.476
20.3,personFlow1.1,266.84,180.237
20.3,personFlow1.2,266.84,167.548
20.35,personFlow1.0,269.887,188.48
20.35,personFlow1.1,266.84,180.299
20.35,personFlow1.2,266.84,167.615
20.4,personFlow1.0,269.941,188.483
20.4,personFlow1.1,266.84,180.36
